,Variabel,value,eigenvalue0,eigenvalue1,eigenvalue2,eigenvalue3,eigenvalue4,eigenvalue5
0,Test_value,0.0,0j,0j,0j,0j,0j,0j
0,m_val,0.29,0j,(5.88+0j),(-2.96+5.51j),(-2.96-5.51j),0j,(-0.06+0j)
0,m_val,2.9,0j,(5.65+0j),(-2.78+5.58j),(-2.78-5.58j),0j,(-0.06+0j)
0,m_val,290.0,0j,(3.05+12.93j),(3.05-12.93j),(-0.95+0j),0j,(-0.06+0j)
0,m_val,-29.0,0j,(8.36+0j),(-5.06+4.33j),(-5.06-4.33j),0j,(-0.06+0j)
0,g_val,0.0982,0j,(-1.3+6.41j),(-1.3-6.41j),(3.71+0j),0j,(-0.06+0j)
0,g_val,0.982,0j,(-1.28+6.41j),(-1.28-6.41j),(3.67+0j),0j,(-0.06+0j)
0,g_val,98.2,0j,(1.08+7.34j),(1.08-7.34j),(-1.06+0j),0j,(-0.06+0j)
0,g_val,-9.82,0j,(-1.51+6.44j),(-1.51-6.44j),(4.14+0j),0j,(-0.06+0j)
0,rho_val,9.97,0j,(1.32+5.86j),(1.32-5.86j),(-1.53+0j),0j,(-0.06+0j)
0,rho_val,99.7,0j,(1.1+5.78j),(1.1-5.78j),(-1.08+0j),0j,(-0.06+0j)
0,rho_val,9970.0,0j,(10.98+0j),(-4.93+12.14j),(-4.93-12.14j),0j,(-0.06+0j)
0,rho_val,-997.0,0j,(2.85+6.84j),(2.85-6.84j),(-4.58+0j),0j,(-0.06+0j)
0,Vol_val,0.00018,0j,(-0.73+6.27j),(-0.73-6.27j),(2.57+0j),0j,(-0.06+0j)
0,Vol_val,0.0018,0j,(-0.76+6.28j),(-0.76-6.28j),(2.64+0j),0j,(-0.06+0j)
0,Vol_val,0.18,0j,(6.88+0j),(-2.89+7.6j),(-2.89-7.6j),0j,(-0.06+0j)
0,Vol_val,-0.018,0j,(-0.32+6.17j),(-0.32-6.17j),(1.75+0j),0j,(-0.06+0j)
0,S1_val,0.00052,0j,(-0.75+6.31j),(-0.75-6.31j),(2.6+0j),0j,(-0.06+0j)
0,S1_val,0.0052,0j,(-0.78+6.32j),(-0.78-6.32j),(2.67+0j),0j,(-0.06+0j)
0,S1_val,0.52,0j,(6.9+0j),(-2.9+7.33j),(-2.9-7.33j),0j,(-0.06+0j)
0,S1_val,-0.052,0j,(-0.37+6.26j),(-0.37-6.26j),(1.84+0j),0j,(-0.06+0j)
0,S2_val,0.00084,0j,(-0.56+6.17j),(-0.56-6.17j),(2.22+0j),0j,(-0.06+0j)
0,S2_val,0.0084,0j,(-0.61+6.19j),(-0.61-6.19j),(2.33+0j),0j,(-0.06+0j)
0,S2_val,0.84,0j,(-3.31+8.24j),(-3.31-8.24j),(7.73+0j),0j,(-0.06+0j)
0,S2_val,-0.084,0j,(0.11+6.05j),(0.11-6.05j),(0.89+0j),0j,(-0.06+0j)
0,S3_val,0.00069,0j,(-0.73+6.02j),(-0.73-6.02j),(2.58+0j),0j,(-0.06+0j)
0,S3_val,0.0069,0j,(-0.77+6.05j),(-0.77-6.05j),(2.65+0j),0j,(-0.06+0j)
0,S3_val,0.69,0j,(-2.51+8.91j),(-2.51-8.91j),(6.13+0j),0j,(-0.06+0j)
0,S3_val,-0.069,0j,(-0.26+5.61j),(-0.26-5.61j),(1.62+0j),0j,(-0.06+0j)
0,S4_val,0.0005,0j,(-0.91+5.96j),(-0.91-5.96j),(2.93+0j),0j,(-0.06+0j)
0,S4_val,0.005,0j,(-0.93+6j),(-0.93-6j),(2.97+0j),0j,(-0.06+0j)
0,S4_val,0.5,0j,(4.67+0j),(-1.78+9.29j),(-1.78-9.29j),0j,(-0.06+0j)
0,S4_val,-0.05,0j,(-0.69+5.45j),(-0.69-5.45j),(2.49+0j),0j,(-0.06+0j)
0,u_val,0.05,0j,(-0.11+0j),(0.04+1.4j),(0.04-1.4j),0j,(-0.06+0j)
0,u_val,0.5,0j,(-0.71+0j),(0.39+1.64j),(0.39-1.64j),0j,(-0.06+0j)
0,u_val,50.0,0j,(-12.82+64.08j),(-12.82-64.08j),(37.19+0j),0j,(-0.06+0j)
0,u_val,-5.0,0j,(1.03+6.39j),(1.03-6.39j),(-3.28+0j),0j,(-0.06+0j)
0,Zw_val,1.51,0j,(1.21+0j),(-0.6+2.52j),(-0.6-2.52j),0j,(-0.06+0j)
0,Zw_val,15.1,0j,(-1.08+4.56j),(-1.08-4.56j),(2.57+0j),0j,(-0.06+0j)
0,Zw_val,1510.0,0j,(-1.04+6.81j),(-1.04-6.81j),(3.38+0j),0j,(-0.06+0j)
0,Zw_val,-151.0,0j,(-0.95+7.47j),(-0.95-7.47j),(3.56+0j),0j,(-0.06+0j)
0,Kp_val,0.16,0j,(-1.07+6.4j),(-1.07-6.4j),(3.26+0j),0j,(-0.86+0j)
0,Kp_val,1.6,0j,(-1.07+6.4j),(-1.07-6.4j),(3.26+0j),0j,(-0.38+0j)
0,Kp_val,160.0,0j,(-1.07+6.4j),(-1.07-6.4j),(3.26+0j),0j,(-0.01+0j)
0,Kp_val,-16.0,0j,(-1.07+6.4j),(-1.07-6.4j),(3.26+0j),0j,(0.07+0j)
0,Mq_val,0.2,0j,(7.92+22.49j),(7.92-22.49j),(4.39+0j),0j,(-0.06+0j)
0,Mq_val,2.0,0j,(1.86+15.17j),(1.86-15.17j),(4.17+0j),0j,(-0.06+0j)
0,Mq_val,200.0,0j,(-0.92+2.54j),(-0.92-2.54j),(1.96+0j),0j,(-0.06+0j)
0,Mq_val,-20.0,0j,(-8.19+0j),(3.48+2.51j),(3.48-2.51j),0j,(-0.06+0j)
0,xG_val,0.001,0j,(-1.54+6.52j),(-1.54-6.52j),(3.05+0j),0j,(-0.06+0j)
0,xG_val,0.01,0j,(-1.5+6.52j),(-1.5-6.52j),(3.06+0j),0j,(-0.06+0j)
0,xG_val,1.0,0j,(12.87+0j),(0.98+3.57j),(0.98-3.57j),0j,(-0.06+0j)
0,xG_val,-0.1,0j,(-2.04+6.61j),(-2.04-6.61j),(2.87+0j),0j,(-0.06+0j)
0,r1_val,0.0031,0j,(-1.07+6.4j),(-1.07-6.4j),(3.26+0j),0j,(-0.06+0j)
0,r1_val,0.031,0j,(-1.07+6.4j),(-1.07-6.4j),(3.26+0j),0j,(-0.06+0j)
0,r1_val,3.1,0j,(-1.07+6.4j),(-1.07-6.4j),(3.26+0j),0j,(-0.06+0j)
0,r1_val,-0.31,0j,(-1.07+6.4j),(-1.07-6.4j),(3.26+0j),0j,(-0.06+0j)
0,Iyx_val,0.0,0j,(-1.07+6.4j),(-1.07-6.4j),(3.26+0j),0j,(-0.06+0j)
0,Iyx_val,0.0,0j,(-1.07+6.4j),(-1.07-6.4j),(3.26+0j),0j,(-0.06+0j)
0,Iyx_val,0.0,0j,(-1.07+6.4j),(-1.07-6.4j),(3.26+0j),0j,(-0.06+0j)
0,Iyx_val,0.0,0j,(-1.07+6.4j),(-1.07-6.4j),(3.26+0j),0j,(-0.06+0j)
